"requirement_id","source_locator","input_route","protected_unit","claim_type","component","dataset","baseline","metric","experiment_id","control_ids","evidence_path","implementation_status","evidence_status"
"PROB-01","پروپوزال 2.docx §4-1; extraction Table 5 line 123","real","source image and corresponding marked instance","instance_binding_and_owner_attribution","derive_keys;detect;copy-paste evaluation","MS-COCO;DIV2K","no-transfer pairs;binding-disabled ablation","forgery ACC/AUC;per-candidate and any-of-K false attribution","EXP-FORGERY","C0;C1;C2;C3;C4;C5;C6","outputs/planned/EXP-FORGERY/real/results.json","PLANNED","PLANNED"
"PROB-01","پروپوزال 2.docx §4-1; extraction Table 5 line 123","generated","source image and corresponding marked instance","instance_binding_and_owner_attribution","derive_keys;detect;copy-paste evaluation","DiffusionDB","no-transfer pairs;binding-disabled ablation","forgery ACC/AUC;per-candidate and any-of-K false attribution","EXP-FORGERY","C0;C1;C2;C3;C4;C5;C6","outputs/planned/EXP-FORGERY/generated/results.json","PLANNED","PLANNED"
"PROB-02","پروپوزال 2.docx §4-1; extraction Table 5 line 124","real","source image and corresponding marked instance","watermark_presence_and_semantic_binding","attack families;detect","MS-COCO;DIV2K","untouched marked output;compatible baseline TBD","component detection/survival;quality;false positives","EXP-ROBUST","C0;C1;C2;C3","outputs/planned/EXP-ROBUST/real/results.json","PLANNED","PLANNED"
"PROB-02","پروپوزال 2.docx §4-1; extraction Table 5 line 124","generated","source image and corresponding marked instance","watermark_presence_and_semantic_binding","attack families;detect","DiffusionDB","untouched marked output;compatible baseline TBD","component detection/survival;quality;false positives","EXP-ROBUST","C0;C1;C2;C3","outputs/planned/EXP-ROBUST/generated/results.json","PLANNED","PLANNED"
"PROB-03","پروپوزال 2.docx §4-1; extraction Table 5 line 125","real","source image and corresponding marked instance","instance_and_semantic_binding","semantic_features;perceptual_features;derive_keys","MS-COCO;DIV2K","semantic-only;perceptual-only;combined","edit stability;distinct-instance collision;false attribution","EXP-SIGNATURE","C0;C1;C2;C4;C6","outputs/planned/EXP-SIGNATURE/real/results.json","PLANNED","PLANNED"
"PROB-03","پروپوزال 2.docx §4-1; extraction Table 5 line 125","generated","source image and corresponding marked instance","instance_and_semantic_binding","semantic_features;perceptual_features;derive_keys","DiffusionDB","semantic-only;perceptual-only;combined","edit stability;distinct-instance collision;false attribution","EXP-SIGNATURE","C0;C1;C2;C4;C6","outputs/planned/EXP-SIGNATURE/generated/results.json","PLANNED","PLANNED"
"GOAL-01","پروپوزال 2.docx §4-2; extraction Table 6 line 139","real","source image and corresponding marked instance","cross_domain_coverage","data manifests;embed_existing;evaluate","MS-COCO;DIV2K","same frozen method by domain;matched controls","source counts;split integrity;domain-stratified quality and detection","EXP-DOMAINS","C0;C1;C2;C4","outputs/planned/EXP-DOMAINS/real/results.json","PLANNED","PLANNED"
"GOAL-01","پروپوزال 2.docx §4-2; extraction Table 6 line 139","generated","source image and corresponding marked instance","cross_domain_coverage","data manifests;embed_existing;evaluate","DiffusionDB","same frozen method by domain;matched controls","source counts;split integrity;domain-stratified quality and detection","EXP-DOMAINS","C0;C1;C2;C4","outputs/planned/EXP-DOMAINS/generated/results.json","PLANNED","PLANNED"
"OBJ-01","پروپوزال 2.docx §4-2; extraction Table 6 line 141","real","source image and corresponding marked instance","instance_and_semantic_binding","semantic_features;perceptual_features;derive_keys","MS-COCO;DIV2K","semantic-only;perceptual-only;combined","edit stability;distinct-instance collision;false attribution","EXP-SIGNATURE","C0;C1;C2;C4;C6","outputs/planned/EXP-SIGNATURE/real/results.json","PLANNED","PLANNED"
"OBJ-01","پروپوزال 2.docx §4-2; extraction Table 6 line 141","generated","source image and corresponding marked instance","instance_and_semantic_binding","semantic_features;perceptual_features;derive_keys","DiffusionDB","semantic-only;perceptual-only;combined","edit stability;distinct-instance collision;false attribution","EXP-SIGNATURE","C0;C1;C2;C4;C6","outputs/planned/EXP-SIGNATURE/generated/results.json","PLANNED","PLANNED"
"OBJ-02","پروپوزال 2.docx §4-2; extraction Table 6 line 142","real","source image and corresponding marked instance","watermark_presence","latent_pattern;embed_existing","MS-COCO;DIV2K","spatial embedding;reproducible diffusion baseline TBD","component survival under regeneration;quality;false positives","EXP-EMBED","C0;C1;C3;C6","outputs/planned/EXP-EMBED/real/results.json","PLANNED","PLANNED"
"OBJ-02","پروپوزال 2.docx §4-2; extraction Table 6 line 142","generated","source image and corresponding marked instance","watermark_presence","latent_pattern;embed_existing","DiffusionDB","spatial embedding;reproducible diffusion baseline TBD","component survival under regeneration;quality;false positives","EXP-EMBED","C0;C1;C3;C6","outputs/planned/EXP-EMBED/generated/results.json","PLANNED","PLANNED"
"OBJ-03","پروپوزال 2.docx §4-2; extraction Table 6 line 143","real","source image and corresponding marked instance","watermark_presence","image_coefficients;image_patterns;detect","MS-COCO;DIV2K","neural decoder for RQ3;inversion baseline for METRIC07;compatibility TBD","ROC/AUC;TPR at validation-frozen FPR;end-to-end latency;peak memory","EXP-DETECT","C0;C1;C2;C3","outputs/planned/EXP-DETECT/real/results.json","PLANNED","PLANNED"
"OBJ-03","پروپوزال 2.docx §4-2; extraction Table 6 line 143","generated","source image and corresponding marked instance","watermark_presence","image_coefficients;image_patterns;detect","DiffusionDB","neural decoder for RQ3;inversion baseline for METRIC07;compatibility TBD","ROC/AUC;TPR at validation-frozen FPR;end-to-end latency;peak memory","EXP-DETECT","C0;C1;C2;C3","outputs/planned/EXP-DETECT/generated/results.json","PLANNED","PLANNED"
"OBJ-04","پروپوزال 2.docx §4-2; extraction Table 6 line 144","real","source image and corresponding marked instance","instance_binding_and_owner_attribution","derive_keys;detect;copy-paste evaluation","MS-COCO;DIV2K","no-transfer pairs;binding-disabled ablation","forgery ACC/AUC;per-candidate and any-of-K false attribution","EXP-FORGERY","C0;C1;C2;C3;C4;C5;C6","outputs/planned/EXP-FORGERY/real/results.json","PLANNED","PLANNED"
"OBJ-04","پروپوزال 2.docx §4-2; extraction Table 6 line 144","generated","source image and corresponding marked instance","instance_binding_and_owner_attribution","derive_keys;detect;copy-paste evaluation","DiffusionDB","no-transfer pairs;binding-disabled ablation","forgery ACC/AUC;per-candidate and any-of-K false attribution","EXP-FORGERY","C0;C1;C2;C3;C4;C5;C6","outputs/planned/EXP-FORGERY/generated/results.json","PLANNED","PLANNED"
"RQ-01","پروپوزال 2.docx §4-2; extraction Table 6 line 146","real","source image and corresponding marked instance","instance_and_semantic_binding","semantic_features;perceptual_features;derive_keys","MS-COCO;DIV2K","semantic-only;perceptual-only;combined","edit stability;distinct-instance collision;false attribution","EXP-SIGNATURE","C0;C1;C2;C4;C6","outputs/planned/EXP-SIGNATURE/real/results.json","PLANNED","PLANNED"
"RQ-01","پروپوزال 2.docx §4-2; extraction Table 6 line 146","generated","source image and corresponding marked instance","instance_and_semantic_binding","semantic_features;perceptual_features;derive_keys","DiffusionDB","semantic-only;perceptual-only;combined","edit stability;distinct-instance collision;false attribution","EXP-SIGNATURE","C0;C1;C2;C4;C6","outputs/planned/EXP-SIGNATURE/generated/results.json","PLANNED","PLANNED"
"RQ-02","پروپوزال 2.docx §4-2; extraction Table 6 line 147","real","source image and corresponding marked instance","watermark_presence","latent_pattern;embed_existing","MS-COCO;DIV2K","spatial embedding;reproducible diffusion baseline TBD","component survival under regeneration;quality;false positives","EXP-EMBED","C0;C1;C3;C6","outputs/planned/EXP-EMBED/real/results.json","PLANNED","PLANNED"
"RQ-02","پروپوزال 2.docx §4-2; extraction Table 6 line 147","generated","source image and corresponding marked instance","watermark_presence","latent_pattern;embed_existing","DiffusionDB","spatial embedding;reproducible diffusion baseline TBD","component survival under regeneration;quality;false positives","EXP-EMBED","C0;C1;C3;C6","outputs/planned/EXP-EMBED/generated/results.json","PLANNED","PLANNED"
"RQ-03","پروپوزال 2.docx §4-2; extraction Table 6 line 148","real","source image and corresponding marked instance","watermark_presence","image_coefficients;image_patterns;detect","MS-COCO;DIV2K","neural decoder for RQ3;inversion baseline for METRIC07;compatibility TBD","ROC/AUC;TPR at validation-frozen FPR;end-to-end latency;peak memory","EXP-DETECT","C0;C1;C2;C3","outputs/planned/EXP-DETECT/real/results.json","PLANNED","PLANNED"
"RQ-03","پروپوزال 2.docx §4-2; extraction Table 6 line 148","generated","source image and corresponding marked instance","watermark_presence","image_coefficients;image_patterns;detect","DiffusionDB","neural decoder for RQ3;inversion baseline for METRIC07;compatibility TBD","ROC/AUC;TPR at validation-frozen FPR;end-to-end latency;peak memory","EXP-DETECT","C0;C1;C2;C3","outputs/planned/EXP-DETECT/generated/results.json","PLANNED","PLANNED"
"RQ-04","پروپوزال 2.docx §4-2; extraction Table 6 line 149","real","source image and corresponding marked instance","instance_binding_and_owner_attribution","derive_keys;detect;copy-paste evaluation","MS-COCO;DIV2K","no-transfer pairs;binding-disabled ablation","forgery ACC/AUC;per-candidate and any-of-K false attribution","EXP-FORGERY","C0;C1;C2;C3;C4;C5;C6","outputs/planned/EXP-FORGERY/real/results.json","PLANNED","PLANNED"
"RQ-04","پروپوزال 2.docx §4-2; extraction Table 6 line 149","generated","source image and corresponding marked instance","instance_binding_and_owner_attribution","derive_keys;detect;copy-paste evaluation","DiffusionDB","no-transfer pairs;binding-disabled ablation","forgery ACC/AUC;per-candidate and any-of-K false attribution","EXP-FORGERY","C0;C1;C2;C3;C4;C5;C6","outputs/planned/EXP-FORGERY/generated/results.json","PLANNED","PLANNED"
"HYP-01","پروپوزال 2.docx §4-5; extraction Table 9 line 232","real","source image and corresponding marked instance","instance_and_semantic_binding","semantic_features;perceptual_features;derive_keys","MS-COCO;DIV2K","semantic-only;perceptual-only;combined","edit stability;distinct-instance collision;false attribution","EXP-SIGNATURE","C0;C1;C2;C4;C6","outputs/planned/EXP-SIGNATURE/real/results.json","PLANNED","PLANNED"
"HYP-01","پروپوزال 2.docx §4-5; extraction Table 9 line 232","generated","source image and corresponding marked instance","instance_and_semantic_binding","semantic_features;perceptual_features;derive_keys","DiffusionDB","semantic-only;perceptual-only;combined","edit stability;distinct-instance collision;false attribution","EXP-SIGNATURE","C0;C1;C2;C4;C6","outputs/planned/EXP-SIGNATURE/generated/results.json","PLANNED","PLANNED"
"HYP-02","پروپوزال 2.docx §4-5; extraction Table 9 line 233","real","source image and corresponding marked instance","watermark_presence","latent_pattern;embed_existing","MS-COCO;DIV2K","spatial embedding;reproducible diffusion baseline TBD","component survival under regeneration;quality;false positives","EXP-EMBED","C0;C1;C3;C6","outputs/planned/EXP-EMBED/real/results.json","PLANNED","PLANNED"
"HYP-02","پروپوزال 2.docx §4-5; extraction Table 9 line 233","generated","source image and corresponding marked instance","watermark_presence","latent_pattern;embed_existing","DiffusionDB","spatial embedding;reproducible diffusion baseline TBD","component survival under regeneration;quality;false positives","EXP-EMBED","C0;C1;C3;C6","outputs/planned/EXP-EMBED/generated/results.json","PLANNED","PLANNED"
"HYP-03","پروپوزال 2.docx §4-5; extraction Table 9 line 234","real","source image and corresponding marked instance","watermark_presence","image_coefficients;image_patterns;detect","MS-COCO;DIV2K","neural decoder for RQ3;inversion baseline for METRIC07;compatibility TBD","ROC/AUC;TPR at validation-frozen FPR;end-to-end latency;peak memory","EXP-DETECT","C0;C1;C2;C3","outputs/planned/EXP-DETECT/real/results.json","PLANNED","PLANNED"
"HYP-03","پروپوزال 2.docx §4-5; extraction Table 9 line 234","generated","source image and corresponding marked instance","watermark_presence","image_coefficients;image_patterns;detect","DiffusionDB","neural decoder for RQ3;inversion baseline for METRIC07;compatibility TBD","ROC/AUC;TPR at validation-frozen FPR;end-to-end latency;peak memory","EXP-DETECT","C0;C1;C2;C3","outputs/planned/EXP-DETECT/generated/results.json","PLANNED","PLANNED"
"HYP-04","پروپوزال 2.docx §4-5; extraction Table 9 line 235","real","source image and corresponding marked instance","instance_binding_and_owner_attribution","derive_keys;detect;copy-paste evaluation","MS-COCO;DIV2K","no-transfer pairs;binding-disabled ablation","forgery ACC/AUC;per-candidate and any-of-K false attribution","EXP-FORGERY","C0;C1;C2;C3;C4;C5;C6","outputs/planned/EXP-FORGERY/real/results.json","PLANNED","PLANNED"
"HYP-04","پروپوزال 2.docx §4-5; extraction Table 9 line 235","generated","source image and corresponding marked instance","instance_binding_and_owner_attribution","derive_keys;detect;copy-paste evaluation","DiffusionDB","no-transfer pairs;binding-disabled ablation","forgery ACC/AUC;per-candidate and any-of-K false attribution","EXP-FORGERY","C0;C1;C2;C3;C4;C5;C6","outputs/planned/EXP-FORGERY/generated/results.json","PLANNED","PLANNED"
"METHOD-01","پروپوزال 2.docx §4-4; extraction Table 8 line 194","real","source image and corresponding marked instance","cross_domain_coverage","data manifests;embed_existing;evaluate","MS-COCO;DIV2K","same frozen method by domain;matched controls","source counts;split integrity;domain-stratified quality and detection","EXP-DOMAINS","C0;C1;C2;C4","outputs/planned/EXP-DOMAINS/real/results.json","PLANNED","PLANNED"
"METHOD-01","پروپوزال 2.docx §4-4; extraction Table 8 line 194","generated","source image and corresponding marked instance","cross_domain_coverage","data manifests;embed_existing;evaluate","DiffusionDB","same frozen method by domain;matched controls","source counts;split integrity;domain-stratified quality and detection","EXP-DOMAINS","C0;C1;C2;C4","outputs/planned/EXP-DOMAINS/generated/results.json","PLANNED","PLANNED"
"METHOD-02","پروپوزال 2.docx §4-4; extraction Table 8 line 197","real","source image and corresponding marked instance","instance_and_semantic_binding","semantic_features;perceptual_features;derive_keys","MS-COCO;DIV2K","semantic-only;perceptual-only;combined","edit stability;distinct-instance collision;false attribution","EXP-SIGNATURE","C0;C1;C2;C4;C6","outputs/planned/EXP-SIGNATURE/real/results.json","PLANNED","PLANNED"
"METHOD-02","پروپوزال 2.docx §4-4; extraction Table 8 line 197","generated","source image and corresponding marked instance","instance_and_semantic_binding","semantic_features;perceptual_features;derive_keys","DiffusionDB","semantic-only;perceptual-only;combined","edit stability;distinct-instance collision;false attribution","EXP-SIGNATURE","C0;C1;C2;C4;C6","outputs/planned/EXP-SIGNATURE/generated/results.json","PLANNED","PLANNED"
"METHOD-03","پروپوزال 2.docx §4-4; extraction Table 8 line 198","real","source image and corresponding marked instance","instance_and_semantic_binding","semantic_features;perceptual_features;derive_keys","MS-COCO;DIV2K","semantic-only;perceptual-only;combined","edit stability;distinct-instance collision;false attribution","EXP-SIGNATURE","C0;C1;C2;C4;C6","outputs/planned/EXP-SIGNATURE/real/results.json","PLANNED","PLANNED"
"METHOD-03","پروپوزال 2.docx §4-4; extraction Table 8 line 198","generated","source image and corresponding marked instance","instance_and_semantic_binding","semantic_features;perceptual_features;derive_keys","DiffusionDB","semantic-only;perceptual-only;combined","edit stability;distinct-instance collision;false attribution","EXP-SIGNATURE","C0;C1;C2;C4;C6","outputs/planned/EXP-SIGNATURE/generated/results.json","PLANNED","PLANNED"
"METHOD-04","پروپوزال 2.docx §4-4; extraction Table 8 lines 199-200 and visual verification record","real","source image and corresponding marked instance","instance_and_semantic_binding","semantic_features;perceptual_features;derive_keys","MS-COCO;DIV2K","semantic-only;perceptual-only;combined","edit stability;distinct-instance collision;false attribution","EXP-SIGNATURE","C0;C1;C2;C4;C6","outputs/planned/EXP-SIGNATURE/real/results.json","PLANNED","PLANNED"
"METHOD-04","پروپوزال 2.docx §4-4; extraction Table 8 lines 199-200 and visual verification record","generated","source image and corresponding marked instance","instance_and_semantic_binding","semantic_features;perceptual_features;derive_keys","DiffusionDB","semantic-only;perceptual-only;combined","edit stability;distinct-instance collision;false attribution","EXP-SIGNATURE","C0;C1;C2;C4;C6","outputs/planned/EXP-SIGNATURE/generated/results.json","PLANNED","PLANNED"
"METHOD-05","پروپوزال 2.docx §4-4; extraction Table 8 lines 199-201 and visual verification record","real","source image and corresponding marked instance","instance_and_semantic_binding","semantic_features;perceptual_features;derive_keys","MS-COCO;DIV2K","semantic-only;perceptual-only;combined","edit stability;distinct-instance collision;false attribution","EXP-SIGNATURE","C0;C1;C2;C4;C6","outputs/planned/EXP-SIGNATURE/real/results.json","PLANNED","PLANNED"
"METHOD-05","پروپوزال 2.docx §4-4; extraction Table 8 lines 199-201 and visual verification record","generated","source image and corresponding marked instance","instance_and_semantic_binding","semantic_features;perceptual_features;derive_keys","DiffusionDB","semantic-only;perceptual-only;combined","edit stability;distinct-instance collision;false attribution","EXP-SIGNATURE","C0;C1;C2;C4;C6","outputs/planned/EXP-SIGNATURE/generated/results.json","PLANNED","PLANNED"
"METHOD-06","پروپوزال 2.docx §4-4; extraction Table 8 lines 203-204","real","source image and corresponding marked instance","watermark_presence","latent_pattern;embed_existing","MS-COCO;DIV2K","spatial embedding;reproducible diffusion baseline TBD","component survival under regeneration;quality;false positives","EXP-EMBED","C0;C1;C3;C6","outputs/planned/EXP-EMBED/real/results.json","PLANNED","PLANNED"
"METHOD-06","پروپوزال 2.docx §4-4; extraction Table 8 lines 203-204","generated","source image and corresponding marked instance","watermark_presence","latent_pattern;embed_existing","DiffusionDB","spatial embedding;reproducible diffusion baseline TBD","component survival under regeneration;quality;false positives","EXP-EMBED","C0;C1;C3;C6","outputs/planned/EXP-EMBED/generated/results.json","PLANNED","PLANNED"
"METHOD-07","پروپوزال 2.docx §4-4; extraction Table 8 lines 206-208","real","source image and corresponding marked instance","instance_binding_and_owner_attribution","derive_keys;detect;copy-paste evaluation","MS-COCO;DIV2K","no-transfer pairs;binding-disabled ablation","forgery ACC/AUC;per-candidate and any-of-K false attribution","EXP-FORGERY","C0;C1;C2;C3;C4;C5;C6","outputs/planned/EXP-FORGERY/real/results.json","PLANNED","PLANNED"
"METHOD-07","پروپوزال 2.docx §4-4; extraction Table 8 lines 206-208","generated","source image and corresponding marked instance","instance_binding_and_owner_attribution","derive_keys;detect;copy-paste evaluation","DiffusionDB","no-transfer pairs;binding-disabled ablation","forgery ACC/AUC;per-candidate and any-of-K false attribution","EXP-FORGERY","C0;C1;C2;C3;C4;C5;C6","outputs/planned/EXP-FORGERY/generated/results.json","PLANNED","PLANNED"
"METHOD-08","پروپوزال 2.docx §4-4; extraction Table 8 lines 209-210","real","source image and corresponding marked instance","watermark_presence","image_coefficients;image_patterns;detect","MS-COCO;DIV2K","neural decoder for RQ3;inversion baseline for METRIC07;compatibility TBD","ROC/AUC;TPR at validation-frozen FPR;end-to-end latency;peak memory","EXP-DETECT","C0;C1;C2;C3","outputs/planned/EXP-DETECT/real/results.json","PLANNED","PLANNED"
"METHOD-08","پروپوزال 2.docx §4-4; extraction Table 8 lines 209-210","generated","source image and corresponding marked instance","watermark_presence","image_coefficients;image_patterns;detect","DiffusionDB","neural decoder for RQ3;inversion baseline for METRIC07;compatibility TBD","ROC/AUC;TPR at validation-frozen FPR;end-to-end latency;peak memory","EXP-DETECT","C0;C1;C2;C3","outputs/planned/EXP-DETECT/generated/results.json","PLANNED","PLANNED"
"METHOD-09","پروپوزال 2.docx §4-4; extraction Table 8 lines 211-214","real","source image and corresponding marked instance","instance_binding_and_owner_attribution","derive_keys;detect;copy-paste evaluation","MS-COCO;DIV2K","no-transfer pairs;binding-disabled ablation","forgery ACC/AUC;per-candidate and any-of-K false attribution","EXP-FORGERY","C0;C1;C2;C3;C4;C5;C6","outputs/planned/EXP-FORGERY/real/results.json","PLANNED","PLANNED"
"METHOD-09","پروپوزال 2.docx §4-4; extraction Table 8 lines 211-214","generated","source image and corresponding marked instance","instance_binding_and_owner_attribution","derive_keys;detect;copy-paste evaluation","DiffusionDB","no-transfer pairs;binding-disabled ablation","forgery ACC/AUC;per-candidate and any-of-K false attribution","EXP-FORGERY","C0;C1;C2;C3;C4;C5;C6","outputs/planned/EXP-FORGERY/generated/results.json","PLANNED","PLANNED"
"DATA-01","پروپوزال 2.docx §4-7; extraction Table 11 line 269","real","source image and corresponding marked instance","cross_domain_coverage","data manifests;embed_existing;evaluate","MS-COCO","same frozen method by domain;matched controls","source counts;split integrity;domain-stratified quality and detection","EXP-DOMAINS","C0;C1;C2;C4","outputs/planned/EXP-DOMAINS/real/results.json","PLANNED","PLANNED"
"DATA-02","پروپوزال 2.docx §4-7; extraction Table 11 line 270","real","source image and corresponding marked instance","cross_domain_coverage","data manifests;embed_existing;evaluate","DIV2K","same frozen method by domain;matched controls","source counts;split integrity;domain-stratified quality and detection","EXP-DOMAINS","C0;C1;C2;C4","outputs/planned/EXP-DOMAINS/real/results.json","PLANNED","PLANNED"
"DATA-03","پروپوزال 2.docx §4-7; extraction Table 11 line 271","generated","source image and corresponding marked instance","cross_domain_coverage","data manifests;embed_existing;evaluate","DiffusionDB","same frozen method by domain;matched controls","source counts;split integrity;domain-stratified quality and detection","EXP-DOMAINS","C0;C1;C2;C4","outputs/planned/EXP-DOMAINS/generated/results.json","PLANNED","PLANNED"
"METRIC-01","پروپوزال 2.docx §4-7; extraction Table 11 line 276","real","source image and corresponding marked instance","visual_fidelity","embed_existing;evaluate","MS-COCO;DIV2K","original I;matched unmarked reconstruction I_ref","PSNR >35 dB proposal target;aggregation TBD","EXP-QUALITY","C0;C1","outputs/planned/EXP-QUALITY/real/results.json","PLANNED","PLANNED"
"METRIC-01","پروپوزال 2.docx §4-7; extraction Table 11 line 276","generated","source image and corresponding marked instance","visual_fidelity","embed_existing;evaluate","DiffusionDB","original I;matched unmarked reconstruction I_ref","PSNR >35 dB proposal target;aggregation TBD","EXP-QUALITY","C0;C1","outputs/planned/EXP-QUALITY/generated/results.json","PLANNED","PLANNED"
"METRIC-02","پروپوزال 2.docx §4-7; extraction Table 11 line 277","real","source image and corresponding marked instance","visual_fidelity","embed_existing;evaluate","MS-COCO;DIV2K","original I;matched unmarked reconstruction I_ref","SSIM >0.9 proposal target;aggregation TBD","EXP-QUALITY","C0;C1","outputs/planned/EXP-QUALITY/real/results.json","PLANNED","PLANNED"
"METRIC-02","پروپوزال 2.docx §4-7; extraction Table 11 line 277","generated","source image and corresponding marked instance","visual_fidelity","embed_existing;evaluate","DiffusionDB","original I;matched unmarked reconstruction I_ref","SSIM >0.9 proposal target;aggregation TBD","EXP-QUALITY","C0;C1","outputs/planned/EXP-QUALITY/generated/results.json","PLANNED","PLANNED"
"METRIC-03","پروپوزال 2.docx §4-7; extraction Table 11 line 278","real","source image and corresponding marked instance","visual_fidelity","embed_existing;evaluate","MS-COCO;DIV2K","original I;matched unmarked reconstruction I_ref","LPIPS <0.1 proposal target;aggregation TBD","EXP-QUALITY","C0;C1","outputs/planned/EXP-QUALITY/real/results.json","PLANNED","PLANNED"
"METRIC-03","پروپوزال 2.docx §4-7; extraction Table 11 line 278","generated","source image and corresponding marked instance","visual_fidelity","embed_existing;evaluate","DiffusionDB","original I;matched unmarked reconstruction I_ref","LPIPS <0.1 proposal target;aggregation TBD","EXP-QUALITY","C0;C1","outputs/planned/EXP-QUALITY/generated/results.json","PLANNED","PLANNED"
"METRIC-04","پروپوزال 2.docx §4-7; extraction Table 11 line 281","real","source image and corresponding marked instance","watermark_presence_and_semantic_binding","attack families;detect","MS-COCO;DIV2K","untouched marked output;compatible baseline TBD","component detection/survival;quality;false positives","EXP-ROBUST","C0;C1;C2;C3","outputs/planned/EXP-ROBUST/real/results.json","PLANNED","PLANNED"
"METRIC-04","پروپوزال 2.docx §4-7; extraction Table 11 line 281","generated","source image and corresponding marked instance","watermark_presence_and_semantic_binding","attack families;detect","DiffusionDB","untouched marked output;compatible baseline TBD","component detection/survival;quality;false positives","EXP-ROBUST","C0;C1;C2;C3","outputs/planned/EXP-ROBUST/generated/results.json","PLANNED","PLANNED"
"METRIC-05","پروپوزال 2.docx §4-7; extraction Table 11 line 282","real","source image and corresponding marked instance","watermark_presence_and_semantic_binding","attack families;detect","MS-COCO;DIV2K","untouched marked output;compatible baseline TBD","component detection/survival;quality;false positives","EXP-ROBUST","C0;C1;C2;C3","outputs/planned/EXP-ROBUST/real/results.json","PLANNED","PLANNED"
"METRIC-05","پروپوزال 2.docx §4-7; extraction Table 11 line 282","generated","source image and corresponding marked instance","watermark_presence_and_semantic_binding","attack families;detect","DiffusionDB","untouched marked output;compatible baseline TBD","component detection/survival;quality;false positives","EXP-ROBUST","C0;C1;C2;C3","outputs/planned/EXP-ROBUST/generated/results.json","PLANNED","PLANNED"
