id,kind,source_locator,approved_text,operational_reading,unresolved_issue
RQ-04,RESEARCH_QUESTION,"پروپوزال 2.docx §4-2; extraction Table 6 line 149","آیا معماری پیشنهادی توانایی تفکیک میان تصویر اصلی و تصویر جعلی که دارای واترمارک کپی‌شده است را دارا می‌باشد؟","Measure discrimination between a valid original and different content carrying a copied watermark.","UNRESOLVED: Positive and negative construction, number of owners/keys, threshold selection, and false-attribution policy are unspecified."
HYP-01,HYPOTHESIS,"پروپوزال 2.docx §4-5; extraction Table 9 line 232","تلفیق ویژگی‌های معنایی (استخراج شده توسط CLIP) با ویژگی‌های ادراکی سطح پایین (pHash)","The combined signature is hypothesized to distinguish semantically similar but distinct images better than a semantic-only signature.","UNRESOLVED: Baseline, collision metric, similarity strata, effect size, and acceptance threshold are unspecified."
HYP-02,HYPOTHESIS,"پروپوزال 2.docx §4-5; extraction Table 9 line 233","انتقال محل جاسازی واترمارک ... به فضای پنهان ... نرخ بقای واترمارک ... را ... افزایش دهد","Latent embedding is hypothesized to improve survival under regeneration relative to pixel-domain embedding.","UNRESOLVED: Baseline implementation, regeneration family, effect size, and significance analysis are unspecified."
HYP-03,HYPOTHESIS,"پروپوزال 2.docx §4-5; extraction Table 9 line 234","تحلیل آماری ضرایب DCT ... زمان پردازش و هزینه‌ی محاسباتی ... را بدون کاهش چشمگیر دقت، کاهش می‌دهد","DCT analysis is hypothesized to reduce compute and latency without a practically important loss in detection performance.","UNRESOLVED: 'بدون کاهش چشمگیر دقت' requires a preregistered non-inferiority or practical-margin rule."
HYP-04,HYPOTHESIS,"پروپوزال 2.docx §4-5; extraction Table 9 line 235","وابستگی ریاضی بین سیگنال واترمارک و محتوای تصویر","Content binding is hypothesized to expose copy-paste transfer through a mismatch between extracted signature and current content.","UNRESOLVED: Mismatch score, decision threshold, attacker model, and false-positive/false-attribution controls are unspecified."
METHOD-01,METHOD,"پروپوزال 2.docx §4-4; extraction Table 8 line 194","تولید امضای دوگانه ... جاسازی در فضای پنهان ... استخراج سبک‌وزن","The proposed core method has three phases: dual-key signature generation, latent embedding, and lightweight extraction.","UNRESOLVED: Exact interfaces, tensor shapes, model revisions, and end-to-end data flow remain unspecified."
METHOD-02,METHOD,"پروپوزال 2.docx §4-4; extraction Table 8 line 197","ویژگی‌های معنایی (E) ... مانند مدل CLIP","Compute semantic feature vector E from input image I with a pretrained encoder such as CLIP.","UNRESOLVED: The phrase 'مانند مدل CLIP' does not pin a model, checkpoint, layer, preprocessing, normalization, or dimension."
METHOD-03,METHOD,"پروپوزال 2.docx §4-4; extraction Table 8 line 198","هش ادراکی (pHash) مبتنی بر ... DCT","Compute perceptual binary code H from image I using a DCT-based perceptual hash.","UNRESOLVED: Resize, color space, coefficient selection, hash length, implementation, and robustness policy are unspecified."
METHOD-04,METHOD,"پروپوزال 2.docx §4-4; extraction Table 8 lines 199-200 and visual verification record","کلید معنایی (Ws): حاصل هش کردن ترکیب بردار معنایی و شناسه مالک","Derive semantic key W_s from the semantic representation and OwnerID through an unspecified hash operation.","UNRESOLVED: OwnerID format, secret/public status, serialization, hash/KDF, salt/key use, collision policy, and key length are unspecified."
METHOD-05,METHOD,"پروپوزال 2.docx §4-4; extraction Table 8 lines 199-201 and visual verification record","کلید نمونه (Wi): حاصل هش کردن ترکیب بردار معنایی، هش ادراکی و شناسه مالک","Derive instance key W_i from semantic representation, perceptual hash, and OwnerID through an unspecified hash operation.","UNRESOLVED: Concatenation/encoding, hash/KDF, secret model, key length, stability tolerance, and collision behavior are unspecified."
METHOD-06,METHOD,"پروپوزال 2.docx §4-4; extraction Table 8 lines 203-204","سیگنال واترمارک ... به عنوان بخشی از نویز اولیه ... تزریق می‌کند","Embed the watermark signal through the diffusion model's initial noise or latent process.","UNRESOLVED: The text alternates between latent-space embedding and initial-noise injection without defining their exact relationship."
METHOD-07,METHOD,"پروپوزال 2.docx §4-4; extraction Table 8 lines 206-208","کلیدهای کاندید ... دوباره تولید می‌شوند","Recompute candidate semantic and instance keys from the suspect image during verification.","UNRESOLVED: Detector inputs and knowledge are unspecified, including whether original image, reference features, prompt, model, owner ID, or secrets are available."
METHOD-08,METHOD,"پروپوزال 2.docx §4-4; extraction Table 8 lines 209-210","تصویر به بلوک‌های ۸ در ۸ تقسیم شده و تبدیل DCT ... ضرایب فرکانسی میانی","Apply an 8-by-8 image-domain DCT and compare mid-band coefficients with patterns derived from candidate keys.","UNRESOLVED: Color channel, padding, synchronization, mid-band indices, pattern generation, statistic, normalization, and threshold are unspecified."
METHOD-09,METHOD,"پروپوزال 2.docx §4-4; extraction Table 8 lines 211-214","اصالت تایید شده ... بازتولید شده ... جعل انتقال","The proposed detector has at least three outcomes: both keys detected, semantic key only, or watermark/signature mismatch.","UNRESOLVED: Clean-negative, wrong-owner, wrong-key, ambiguous-score, and abstention outcomes are not defined."
DATA-01,DATASET,"پروپوزال 2.docx §4-7; extraction Table 11 line 269","۱0۰۰ تصویر ... MS-COCO ... (نسخه ۲۰۲۰ یا جدیدتر)","Evaluate on a 1,000-image MS-COCO subset representing everyday real images; the source mixes Persian and Latin digits in this count.","UNRESOLVED: '2020 or newer' does not pin a release; release, image IDs, sampling, license record, and split require verification."
DATA-02,DATASET,"پروپوزال 2.docx §4-7; extraction Table 11 line 270","۸۰۰ تصویر آموزشی و ۱۰۰ تصویر اعتبارسنجی با وضوح 2K","Evaluate high-resolution behavior on the stated DIV2K training and validation images unless a human-approved scope amendment changes the count.","UNRESOLVED: The proposal allows a hardware-driven change but gives no minimum count, sampling rule, or approval record."
DATA-03,DATASET,"پروپوزال 2.docx §4-7; extraction Table 11 line 271","۵۰۰۰ تصویر ... DiffusionDB","Evaluate generated-image behavior on a 5,000-image DiffusionDB subset.","UNRESOLVED: Snapshot, stable IDs, subset selection, deduplication, prompt/model stratification, license record, and split are unspecified."
METRIC-01,METRIC,"پروپوزال 2.docx §4-7; extraction Table 11 line 276","PSNR ... مقادیر بالای ۳۵ دسیبل","Treat PSNR above 35 dB as a proposal-stated visual-quality target, not as an achieved result or universal rule.","UNRESOLVED: Aggregation unit, confidence interval, reference image, color space, and pass rule across samples are unspecified."
METRIC-02,METRIC,"پروپوزال 2.docx §4-7; extraction Table 11 line 277","SSIM ... مقادیر بالای ۰.۹","Treat SSIM above 0.9 as a proposal-stated visual-quality target.","UNRESOLVED: SSIM implementation, windowing, channel, aggregation, confidence interval, and pass rule are unspecified."
METRIC-03,METRIC,"پروپوزال 2.docx §4-7; extraction Table 11 line 278","LPIPS ... کمتر از ۰.۱","Treat LPIPS below 0.1 as a proposal-stated visual-quality target.","UNRESOLVED: Backbone/version, preprocessing, aggregation, confidence interval, and pass rule are unspecified."
METRIC-04,METRIC,"پروپوزال 2.docx §4-7; extraction Table 11 line 281","نرخ تشخیص (Detection Rate)","Measure recovery of valid watermarks after declared benign attacks such as crop, noise, and compression.","UNRESOLVED: Attack ranges, threshold, denominator, analysis unit, and target detection rate are unspecified."
METRIC-05,METRIC,"پروپوزال 2.docx §4-7; extraction Table 11 line 282","مقاومت در برابر بازتولید (Regeneration Robustness)","Measure watermark survival after a declared model-based regeneration process.","UNRESOLVED: Regeneration protocol, survival definition, comparator, and target are unspecified."
METRIC-06,METRIC,"پروپوزال 2.docx §4-7; extraction Table 11 line 283","دقت تشخیص جعل ... ACC ... AUC","Measure copy-paste forgery discrimination using ACC and AUC as proposal-stated metrics.","UNRESOLVED: Class balance, split, threshold, ROC construction, confidence intervals, target values, and owner/key multiplicity are unspecified."
METRIC-07,METRIC,"پروپوزال 2.docx §4-7; extraction Table 11 line 285","زمان استخراج ... بر حسب میلی‌ثانیه ... مقایسه ... با ... SEAL","Measure extraction time in milliseconds and compare it with an inversion-based method such as SEAL.","UNRESOLVED: Hardware, batch size, warm-up, repetitions, synchronization, comparator revision, and acceptable speedup are unspecified."
CLAIM-01,PLANNED_CLAIM,"پروپوزال 2.docx §4-4; extraction Table 8 line 216","هزینه‌ی محاسباتی را به‌طور چشمگیری کاهش داده و امکان بررسی سریع اصالت تصاویر را فراهم می‌آورد","Treat computational reduction and rapid verification as claims to test, not established findings.","UNRESOLVED: Required speedup, compute metric, baseline, and acceptable accuracy tradeoff are unspecified."
NOVELTY-01,PLANNED_CLAIM,"پروپوزال 2.docx §4-6; extraction Table 10 line 252","اتصال معنایی ... حذف مرحله‌ی سنگین وارون‌سازی ... تحلیل آماری سبک‌وزن ... DCT","The proposal positions semantic binding plus DCT extraction without inverse diffusion as its process novelty.","UNRESOLVED: Novelty remains an unverified proposal claim until literature inspection and baseline comparison are completed."
